# EXPERIMENT: Eddy Current Braking - Copper  
# DATE: 2025-07-19  
# MATERIAL: Copper C110 (1.5mm)  
# MAGNET: NdFeB N52 (0.75T)  
# VELOCITY: 2.1 m/s  
# NOTES: Strong response, high-frequency oscillations  
timestamp,sensor1_raw,sensor1_freq,sensor1_amp,sensor2_raw,sensor2_freq,sensor2_amp  
0,-9.81,0.0,0.0,-9.80,0.0,0.0  
10,-9.85,0.0,0.04,-9.82,0.0,0.02  
20,-10.25,0.0,0.44,-9.90,0.0,0.10  
30,-12.85,15.6,3.05,-10.45,8.2,0.65  
40,-15.20,42.5,5.12,-12.30,25.3,2.50  
50,-14.65,45.1,4.85,-13.10,30.2,3.30  
60,-13.20,38.7,3.98,-12.55,28.5,2.75  
70,-11.85,25.3,2.10,-11.20,20.1,1.40  
80,-10.75,10.5,0.94,-10.15,8.5,0.35  
90,-10.10,3.2,0.29,-9.95,2.1,0.15  
100,-9.85,0.0,0.05,-9.83,0.0,0.03  
110,-9.82,0.0,0.01,-9.81,0.0,0.01  
